wl(um),n,k
1.171,1.44838108,0
1.172,1.448369632,0
1.173,1.448358188,0
1.174,1.448346746,0
1.175,1.448335308,0
1.176,1.448323872,0
1.177,1.448312439,0
1.178,1.448301008,0
1.179,1.448289581,0
1.18,1.448278155,0
1.181,1.448266733,0
1.182,1.448255313,0
1.183,1.448243896,0
1.184,1.448232481,0
1.185,1.448221069,0
1.186,1.448209659,0
1.187,1.448198252,0
1.188,1.448186847,0
1.189,1.448175444,0
1.19,1.448164044,0
1.191,1.448152646,0
1.192,1.44814125,0
1.193,1.448129856,0
1.194,1.448118465,0
1.195,1.448107076,0
1.196,1.448095689,0
1.197,1.448084304,0
1.198,1.448072921,0
1.199,1.44806154,0
1.2,1.448050161,0
1.201,1.448038785,0
1.202,1.44802741,0
1.203,1.448016037,0
1.204,1.448004666,0
1.205,1.447993296,0
1.206,1.447981929,0
1.207,1.447970563,0
1.208,1.447959199,0
1.209,1.447947837,0
1.21,1.447936477,0
1.211,1.447925118,0
1.212,1.447913761,0
1.213,1.447902405,0
1.214,1.447891052,0
1.215,1.447879699,0
1.216,1.447868348,0
1.217,1.447856999,0
1.218,1.447845651,0
1.219,1.447834304,0
1.22,1.447822959,0
1.221,1.447811616,0
1.222,1.447800273,0
1.223,1.447788932,0
1.224,1.447777593,0
1.225,1.447766254,0
1.226,1.447754917,0
1.227,1.447743581,0
1.228,1.447732246,0
1.229,1.447720912,0
1.23,1.447709579,0
1.231,1.447698248,0
1.232,1.447686918,0
1.233,1.447675588,0
1.234,1.44766426,0
1.235,1.447652932,0
1.236,1.447641606,0
1.237,1.44763028,0
1.238,1.447618956,0
1.239,1.447607632,0
1.24,1.447596309,0
1.241,1.447584987,0
1.242,1.447573666,0
1.243,1.447562345,0
1.244,1.447551025,0
1.245,1.447539706,0
1.246,1.447528388,0
1.247,1.44751707,0
1.248,1.447505753,0
1.249,1.447494437,0
1.25,1.447483121,0
1.251,1.447471805,0
1.252,1.447460491,0
1.253,1.447449176,0
1.254,1.447437862,0
1.255,1.447426549,0
1.256,1.447415236,0
1.257,1.447403924,0
1.258,1.447392612,0
1.259,1.4473813,0
1.26,1.447369988,0
1.261,1.447358677,0
1.262,1.447347366,0
1.263,1.447336056,0
1.264,1.447324745,0
1.265,1.447313435,0
1.266,1.447302125,0
1.267,1.447290816,0
1.268,1.447279506,0
1.269,1.447268196,0
1.27,1.447256887,0
1.271,1.447245577,0
1.272,1.447234268,0
1.273,1.447222959,0
1.274,1.447211649,0
1.275,1.44720034,0
1.276,1.447189031,0
1.277,1.447177721,0
1.278,1.447166412,0
1.279,1.447155102,0
1.28,1.447143792,0
1.281,1.447132482,0
1.282,1.447121172,0
1.283,1.447109861,0
1.284,1.447098551,0
1.285,1.44708724,0
1.286,1.447075928,0
1.287,1.447064617,0
1.288,1.447053305,0
1.289,1.447041993,0
1.29,1.44703068,0
1.291,1.447019367,0
1.292,1.447008054,0
1.293,1.44699674,0
1.294,1.446985426,0
1.295,1.446974111,0
1.296,1.446962796,0
1.297,1.44695148,0
1.298,1.446940164,0
1.299,1.446928847,0
1.3,1.446917529,0
1.301,1.446906211,0
1.302,1.446894893,0
1.303,1.446883573,0
1.304,1.446872253,0
1.305,1.446860932,0
1.306,1.446849611,0
1.307,1.446838289,0
1.308,1.446826966,0
1.309,1.446815642,0
1.31,1.446804318,0
1.311,1.446792992,0
1.312,1.446781666,0
1.313,1.446770339,0
1.314,1.446759011,0
1.315,1.446747682,0
1.316,1.446736352,0
1.317,1.446725022,0
1.318,1.44671369,0
1.319,1.446702357,0
1.32,1.446691024,0
1.321,1.446679689,0
1.322,1.446668353,0
1.323,1.446657017,0
1.324,1.446645679,0
1.325,1.44663434,0
1.326,1.446623,0
1.327,1.446611659,0
1.328,1.446600316,0
1.329,1.446588973,0
1.33,1.446577628,0
1.331,1.446566282,0
1.332,1.446554935,0
1.333,1.446543586,0
1.334,1.446532236,0
1.335,1.446520885,0
1.336,1.446509533,0
1.337,1.446498179,0
1.338,1.446486824,0
1.339,1.446475468,0
1.34,1.44646411,0
1.341,1.446452751,0
1.342,1.446441391,0
1.343,1.446430029,0
1.344,1.446418665,0
1.345,1.4464073,0
1.346,1.446395934,0
1.347,1.446384566,0
1.348,1.446373196,0
1.349,1.446361825,0
1.35,1.446350452,0
1.351,1.446339078,0
1.352,1.446327702,0
1.353,1.446316325,0
1.354,1.446304946,0
1.355,1.446293565,0
1.356,1.446282183,0
1.357,1.446270799,0
1.358,1.446259413,0
1.359,1.446248025,0
1.36,1.446236636,0
1.361,1.446225245,0
1.362,1.446213852,0
1.363,1.446202457,0
1.364,1.446191061,0
1.365,1.446179663,0
1.366,1.446168262,0
1.367,1.44615686,0
1.368,1.446145457,0
1.369,1.446134051,0
1.37,1.446122643,0
1.371,1.446111233,0
1.372,1.446099822,0
