wl,n,k
0.684,2.759992,1.435676
0.685,2.760363,1.436358
0.686,2.760734,1.437041
0.687,2.761104,1.437725
0.688,2.761474,1.43841
0.689,2.761844,1.439095
0.69,2.762214,1.439782
0.691,2.762583,1.44047
0.692,2.762952,1.441158
0.693,2.763321,1.441848
0.694,2.76369,1.442538
0.695,2.764058,1.44323
0.696,2.764426,1.443922
0.697,2.764793,1.444615
0.698,2.76516,1.44531
0.699,2.765527,1.446005
0.7,2.765893,1.446701
0.701,2.76626,1.447399
0.702,2.766625,1.448097
0.703,2.766991,1.448797
0.704,2.767356,1.449497
0.705,2.767721,1.450199
0.706,2.768085,1.450902
0.707,2.768449,1.451606
0.708,2.768812,1.452311
0.709,2.769176,1.453017
0.71,2.769538,1.453724
0.711,2.769901,1.454432
0.712,2.770262,1.455142
0.713,2.770624,1.455853
0.714,2.770985,1.456564
0.715,2.771346,1.457277
0.716,2.771706,1.457992
0.717,2.772066,1.458707
0.718,2.772425,1.459424
0.719,2.772784,1.460142
0.72,2.773143,1.460861
0.721,2.773501,1.461581
0.722,2.773859,1.462302
0.723,2.774216,1.463025
0.724,2.774573,1.463749
0.725,2.774929,1.464475
0.726,2.775285,1.465201
0.727,2.77564,1.465929
0.728,2.775996,1.466658
0.729,2.77635,1.467389
0.73,2.776705,1.468121
0.731,2.777058,1.468854
0.732,2.777412,1.469588
0.733,2.777765,1.470324
0.734,2.778117,1.471061
0.735,2.778469,1.4718
0.736,2.778821,1.472539
0.737,2.779171,1.473281
0.738,2.779522,1.474023
0.739,2.779872,1.474767
0.74,2.780222,1.475513
0.741,2.780572,1.476259
0.742,2.780921,1.477007
0.743,2.781269,1.477757
0.744,2.781617,1.478508
0.745,2.781965,1.47926
0.746,2.782312,1.480014
0.747,2.782659,1.48077
0.748,2.783005,1.481526
0.749,2.783351,1.482285
0.75,2.783697,1.483044
0.751,2.784042,1.483805
0.752,2.784386,1.484568
0.753,2.784731,1.485332
0.754,2.785075,1.486097
0.755,2.785418,1.486864
0.756,2.785761,1.487633
0.757,2.786104,1.488403
0.758,2.786446,1.489174
0.759,2.786788,1.489948
0.76,2.787129,1.490722
0.761,2.787471,1.491498
0.762,2.787811,1.492276
0.763,2.788152,1.493055
0.764,2.788492,1.493836
0.765,2.788831,1.494618
0.766,2.789171,1.495402
0.767,2.789509,1.496187
0.768,2.789848,1.496974
0.769,2.790186,1.497762
0.77,2.790524,1.498552
0.771,2.790861,1.499344
0.772,2.791198,1.500137
0.773,2.791535,1.500932
0.774,2.791871,1.501728
0.775,2.792207,1.502526
0.776,2.792543,1.503325
0.777,2.792879,1.504126
0.778,2.793214,1.504929
0.779,2.793549,1.505733
0.78,2.793883,1.506539
0.781,2.794217,1.507347
0.782,2.794551,1.508156
0.783,2.794885,1.508967
0.784,2.795218,1.509779
0.785,2.795551,1.510593
0.786,2.795884,1.511409
0.787,2.796216,1.512226
0.788,2.796549,1.513045
0.789,2.79688,1.513865
0.79,2.797212,1.514688
0.791,2.797544,1.515511
0.792,2.797875,1.516337
0.793,2.798206,1.517164
0.794,2.798537,1.517992
0.795,2.798867,1.518823
0.796,2.799197,1.519655
0.797,2.799527,1.520489
0.798,2.799857,1.521324
0.799,2.800187,1.522161
0.8,2.800516,1.523
0.801,2.800845,1.52384
