wl,n,k
0.494,3.84525,0.77294
0.495,3.83418,0.76491
0.496,3.82325,0.75725
0.497,3.8125,0.74994
0.498,3.80194,0.74294
0.499,3.79157,0.7362
0.5,3.78138,0.72969
0.501,3.77134,0.72338
0.502,3.7614,0.71724
0.503,3.75152,0.71131
0.504,3.74168,0.70563
0.505,3.7319,0.70022
0.506,3.72221,0.69514
0.507,3.71266,0.69039
0.508,3.70334,0.68594
0.509,3.69428,0.68171
0.51,3.68547,0.67763
0.511,3.67688,0.67363
0.512,3.66846,0.66966
0.513,3.66008,0.6657
0.514,3.65169,0.66183
0.515,3.64325,0.6581
0.516,3.63479,0.6546
0.517,3.62633,0.65137
0.518,3.61795,0.64846
0.519,3.60973,0.64585
0.52,3.60172,0.64349
0.521,3.59393,0.64134
0.522,3.58637,0.63937
0.523,3.57906,0.63752
0.524,3.57198,0.63576
0.525,3.56513,0.63406
0.526,3.5585,0.63238
0.527,3.55205,0.63067
0.528,3.54575,0.62891
0.529,3.53955,0.62707
0.53,3.53338,0.62515
0.531,3.52719,0.62319
0.532,3.52096,0.62122
0.533,3.51467,0.61928
0.534,3.50833,0.61739
0.535,3.50192,0.61559
0.536,3.49547,0.61389
0.537,3.48897,0.61231
0.538,3.48245,0.61086
0.539,3.4759,0.60955
0.54,3.46935,0.6084
0.541,3.4628,0.60742
0.542,3.45631,0.60658
0.543,3.44987,0.60587
0.544,3.44348,0.60526
0.545,3.43715,0.60473
0.546,3.43083,0.60425
0.547,3.4245,0.60382
0.548,3.41811,0.60343
0.549,3.41162,0.60314
0.55,3.40503,0.60299
0.551,3.39835,0.603
0.552,3.39159,0.60323
0.553,3.38478,0.60369
0.554,3.37799,0.60441
0.555,3.37125,0.60532
0.556,3.36457,0.60639
0.557,3.35795,0.60758
0.558,3.35133,0.60885
0.559,3.34469,0.61016
0.56,3.33792,0.6115
0.561,3.33093,0.61292
0.562,3.32368,0.61451
0.563,3.31615,0.61637
0.564,3.30834,0.61856
0.565,3.30027,0.62116
0.566,3.29198,0.62425
0.567,3.28353,0.62788
0.568,3.27495,0.63209
0.569,3.26631,0.63692
0.57,3.25765,0.64239
0.571,3.24901,0.64853
0.572,3.24048,0.65538
0.573,3.23212,0.66296
0.574,3.22404,0.67123
0.575,3.21629,0.68015
0.576,3.2089,0.68965
0.577,3.20187,0.69968
0.578,3.19518,0.7102
0.579,3.18879,0.72115
0.58,3.18257,0.73254
0.581,3.17637,0.74449
0.582,3.17018,0.7572
0.583,3.16405,0.77087
0.584,3.15809,0.78568
0.585,3.15244,0.80178
0.586,3.1473,0.81934
0.587,3.14288,0.83846
0.588,3.13948,0.85923
0.589,3.13738,0.8817
0.59,3.1369,0.90588
0.591,3.1384,0.93178
0.592,3.1423,0.95935
0.593,3.14912,0.98848
0.594,3.1595,1.019
0.595,3.17436,1.05023
0.596,3.19402,1.08099
0.597,3.2184,1.11022
0.598,3.24715,1.13704
0.599,3.27978,1.16065
0.6,3.31569,1.18042
0.601,3.35413,1.19582
0.602,3.39418,1.20656
0.603,3.435,1.21275
0.604,3.47605,1.21457
0.605,3.51686,1.21215
0.606,3.557,1.20562
0.607,3.59604,1.1951
0.608,3.63355,1.18069
0.609,3.669,1.16251
0.61,3.7017,1.14096
0.611,3.73127,1.11665
0.612,3.75754,1.09015
0.613,3.7804,1.06195
0.614,3.79983,1.03249
0.615,3.81579,1.00219
0.616,3.82831,0.97143
0.617,3.83739,0.94058
0.618,3.84304,0.91006
0.619,3.84535,0.88029
0.62,3.84448,0.8517
0.621,3.84064,0.82471
0.622,3.83408,0.7997
0.623,3.82515,0.77709
0.624,3.81429,0.75724
0.625,3.80217,0.7405
0.626,3.78964,0.72673
0.627,3.77721,0.71554
0.628,3.76513,0.70653
0.629,3.75356,0.69935
0.63,3.74254,0.69366
0.631,3.73201,0.68915
0.632,3.7218,0.68553
0.633,3.71148,0.68256
0.634,3.70032,0.68048
0.635,3.68804,0.68007
0.636,3.67472,0.68207
0.637,3.66072,0.68721
0.638,3.64657,0.69614
0.639,3.63305,0.70949
0.64,3.62121,0.72781
0.641,3.61251,0.7515
0.642,3.60924,0.78039
0.643,3.61337,0.81263
0.644,3.62561,0.84608
0.645,3.64604,0.87877
0.646,3.6743,0.9089
0.647,3.70969,0.93488
0.648,3.75123,0.95536
0.649,3.79769,0.96919
0.65,3.84754,0.97548
0.651,3.89886,0.97402
0.652,3.95033,0.96535
0.653,4.00107,0.94991
0.654,4.05037,0.92811
0.655,4.09761,0.90025
0.656,4.14221,0.86661
0.657,4.18355,0.82741
0.658,4.22092,0.78282
0.659,4.25334,0.73306
0.66,4.27946,0.67894
0.661,4.29859,0.62192
0.662,4.3105,0.56328
0.663,4.31518,0.50423
0.664,4.31275,0.44592
0.665,4.3035,0.38947
0.666,4.28786,0.33598
0.667,4.26652,0.28661
0.668,4.24057,0.24251
0.669,4.21188,0.20423
0.67,4.18183,0.17125
0.671,4.15128,0.14306
0.672,4.12085,0.11914
0.673,4.09101,0.099
0.674,4.06213,0.08217
0.675,4.03448,0.06816
0.676,4.00821,0.05648
0.677,3.9834,0.04663
0.678,3.95989,0.03818
0.679,3.93749,0.03094
0.68,3.9161,0.02481
0.681,3.89571,0.01968
0.682,3.87629,0.01546
0.683,3.85782,0.01203
0.684,3.8403,0.00927
0.685,3.82369,0.00709
0.686,3.80797,0.00536
0.687,3.79308,0.00398
0.688,3.77894,0.00286
0.689,3.76546,0.00198
0.69,3.7526,0.0013
0.691,3.74033,0.00079
0.692,3.72861,0.00044
0.693,3.71741,0.00021
0.694,3.7067,0.00008
0.695,3.69646,0.00002
0.696,3.68665,0
0.697,3.67724,0
0.698,3.66819,0
0.699,3.65946,0
0.7,3.65103,0
0.701,3.64287,0
0.702,3.63496,0
0.703,3.6273,0
0.704,3.61985,0
0.705,3.61261,0
0.706,3.60558,0
0.707,3.59872,0
0.708,3.59205,0
0.709,3.58554,0
0.71,3.57919,0
0.711,3.57299,0
0.712,3.56694,0
0.713,3.56102,0
0.714,3.55524,0
0.715,3.54958,0
0.716,3.54405,0
0.717,3.53862,0
0.718,3.53331,0
0.719,3.52811,0
0.72,3.52301,0
0.721,3.518,0
0.722,3.51309,0
0.723,3.50828,0
0.724,3.50355,0
0.725,3.49891,0
0.726,3.49434,0
0.727,3.48986,0
0.728,3.48546,0
0.729,3.48113,0
0.73,3.47687,0
0.731,3.47268,0
0.732,3.46856,0
0.733,3.4645,0
0.734,3.46051,0
0.735,3.45658,0
0.736,3.45271,0
0.737,3.4489,0
0.738,3.44514,0
0.739,3.44144,0
0.74,3.43779,0
0.741,3.4342,0
0.742,3.43065,0
0.743,3.42716,0
0.744,3.42371,0
0.745,3.42031,0
0.746,3.41696,0
0.747,3.41365,0
0.748,3.41039,0
0.749,3.40716,0
0.75,3.40398,0
0.751,3.40084,0
0.752,3.39774,0
0.753,3.39468,0
0.754,3.39165,0
0.755,3.38867,0
0.756,3.38571,0
0.757,3.3828,0
0.758,3.37992,0
0.759,3.37707,0
0.76,3.37425,0
0.761,3.37147,0
0.762,3.36872,0
0.763,3.366,0
0.764,3.36331,0
0.765,3.36066,0
0.766,3.35803,0
0.767,3.35543,0
0.768,3.35285,0
0.769,3.35031,0
0.77,3.34779,0
0.771,3.3453,0
0.772,3.34284,0
0.773,3.3404,0
0.774,3.33798,0
