"Wavelength, µm",n,k
0.648,5.042382,0.2452689
0.649,5.017838,0.2256843
0.65,4.994338,0.208204
0.651,4.971856,0.1925344
0.652,4.95035,0.1784291
0.653,4.929772,0.1656814
0.654,4.910073,0.1541166
0.655,4.891201,0.1435874
0.656,4.873106,0.1339685
0.657,4.855738,0.1251532
0.658,4.839052,0.1170504
0.659,4.823005,0.1095817
0.66,4.807555,0.1026797
0.661,4.792665,0.0962861
0.662,4.7783,0.09035016
0.663,4.764427,0.08482776
0.664,4.751016,0.07968026
0.665,4.73804,0.07487375
0.666,4.725474,0.07037837
0.667,4.713293,0.06616772
0.668,4.701476,0.06221837
0.669,4.690003,0.05850949
0.67,4.678855,0.05502247
0.671,4.668015,0.05174068
0.672,4.657468,0.04864916
0.673,4.647199,0.04573445
0.674,4.637193,0.0429844
0.675,4.627439,0.040388
0.676,4.617924,0.03793527
0.677,4.608638,0.03561711
0.678,4.59957,0.03342524
0.679,4.590712,0.03135209
0.68,4.582053,0.02939071
0.681,4.573586,0.02753474
0.682,4.565304,0.02577831
0.683,4.557198,0.02411601
0.684,4.549261,0.02254286
0.685,4.541489,0.02105425
0.686,4.533874,0.0196459
0.687,4.526411,0.01831383
0.688,4.519095,0.01705436
0.689,4.51192,0.01586405
0.69,4.504882,0.01473969
0.691,4.497977,0.0136783
0.692,4.4912,0.01267707
0.693,4.484548,0.01173339
0.694,4.478016,0.0108448
0.695,4.471602,0.01000899
0.696,4.465301,0.009223811
0.697,4.459112,0.008487212
0.698,4.45303,0.007797281
0.699,4.447053,0.007152209
0.7,4.441179,0.006550293
0.701,4.435405,0.005989921
0.702,4.429728,0.005469572
0.703,4.424148,0.004987805
0.704,4.418661,0.004543257
0.705,4.413266,0.004134637
0.706,4.407962,0.003760718
0.707,4.402748,0.003420337
0.708,4.397622,0.003112391
0.709,4.392584,0.002835828
0.71,4.387636,0.002589033
0.711,4.38278,0.002362732
0.712,4.378006,0.00215372
0.713,4.373313,0.001961536
0.714,4.368696,0.001785743
0.715,4.364154,0.001625927
0.716,4.359685,0.001481697
0.717,4.355287,0.001352682
0.718,4.350962,0.001238529
0.719,4.346711,0.001134844
0.72,4.342527,0.001037288
0.721,4.338409,0.000945592
0.722,4.334352,0.000859502
0.723,4.330355,0.000778778
0.724,4.326416,0.000703191
0.725,4.322533,0.000632526
0.726,4.318704,0.000566579
0.727,4.314928,0.000505157
0.728,4.311203,0.000448076
0.729,4.307529,0.000395162
0.73,4.303902,0.000346249
0.731,4.300324,0.000301182
0.732,4.296791,0.000259811
0.733,4.293304,0.000221993
0.734,4.28986,0.000187595
0.735,4.28646,0.000156488
0.736,4.283102,0.00012855
0.737,4.279785,0.000103665
0.738,4.276509,8.17209E-05
0.739,4.273272,6.26134E-05
0.74,4.270073,4.62414E-05
0.741,4.266913,3.25087E-05
0.742,4.26379,2.13235E-05
0.743,4.260703,1.25983E-05
0.744,4.257652,6.24928E-06
0.745,4.254637,2.19646E-06
0.746,4.251657,3.63E-07
0.747,4.248712,2.26E-07
0.748,4.245802,2.17E-07
0.749,4.242924,2.08E-07
0.75,4.240079,2.00E-07
0.751,4.237264,1.91E-07
0.752,4.234479,1.83E-07
0.753,4.231724,1.75E-07
0.754,4.228998,1.67E-07
0.755,4.226301,1.60E-07
0.756,4.223631,1.52E-07
0.757,4.220988,1.45E-07
0.758,4.218371,1.38E-07
0.759,4.215781,1.31E-07
0.76,4.213216,1.24E-07
0.761,4.210676,1.18E-07
0.762,4.208161,1.12E-07
0.763,4.20567,1.05E-07
0.764,4.203203,9.95E-08
0.765,4.200759,9.37E-08
0.766,4.198338,8.81E-08
0.767,4.195939,8.27E-08
0.768,4.193563,7.74E-08
0.769,4.191208,7.24E-08
0.77,4.188874,6.75E-08
0.771,4.186562,6.28E-08
0.772,4.18427,5.82E-08
0.773,4.181998,5.39E-08
0.774,4.179747,4.97E-08
0.775,4.177515,4.56E-08
0.776,4.175302,4.18E-08
0.777,4.173109,3.81E-08
0.778,4.170934,3.46E-08
0.779,4.168778,3.13E-08
0.78,4.16664,2.82E-08
0.781,4.16452,2.52E-08
0.782,4.162417,2.24E-08
0.783,4.160332,1.97E-08
0.784,4.158264,1.72E-08
0.785,4.156213,1.49E-08
0.786,4.154178,1.28E-08
0.787,4.152161,1.08E-08
0.788,4.150159,9.02E-09
0.789,4.148173,7.38E-09
0.79,4.146203,5.91E-09
0.791,4.144248,4.60E-09
0.792,4.142309,3.46E-09
0.793,4.140384,2.48E-09
0.794,4.138475,1.66E-09
0.795,4.13658,1.01E-09
0.796,4.1347,5.20E-10
0.797,4.132834,1.91E-10
0.798,4.130982,2.38E-11
0.799,4.129145,0
0.8,4.127321,0
0.801,4.12551,0
0.802,4.123713,0
0.803,4.121929,0
0.804,4.120158,0
0.805,4.118401,0
0.806,4.116655,0
0.807,4.114923,0
0.808,4.113203,0
0.809,4.111495,0
0.81,4.1098,0
0.811,4.108116,0
0.812,4.106444,0
0.813,4.104784,0
0.814,4.103136,0
0.815,4.101498,0
0.816,4.099873,0
0.817,4.098258,0
0.818,4.096655,0
0.819,4.095062,0
0.82,4.09348,0
0.821,4.091909,0
0.822,4.090349,0
0.823,4.088798,0
0.824,4.087259,0
0.825,4.085729,0
0.826,4.08421,0
0.827,4.0827,0
0.828,4.081201,0
0.829,4.079711,0
0.83,4.078231,0
0.831,4.07676,0
0.832,4.075299,0
0.833,4.073847,0
0.834,4.072405,0
0.835,4.070972,0
0.836,4.069547,0
0.837,4.068132,0
0.838,4.066726,0
0.839,4.065329,0
0.84,4.06394,0
0.841,4.06256,0
0.842,4.061188,0
0.843,4.059825,0
0.844,4.05847,0
0.845,4.057124,0
0.846,4.055785,0
0.847,4.054455,0
0.848,4.053133,0
0.849,4.051819,0
0.85,4.050513,0
0.851,4.049214,0
0.852,4.047924,0
0.853,4.046641,0
0.854,4.045365,0
0.855,4.044097,0
0.856,4.042837,0
0.857,4.041584,0
0.858,4.040338,0
0.859,4.0391,0
0.86,4.037868,0
0.861,4.036644,0
0.862,4.035427,0
0.863,4.034217,0
0.864,4.033014,0
0.865,4.031817,0
0.866,4.030628,0
0.867,4.029445,0
0.868,4.028269,0
0.869,4.027099,0
0.87,4.025936,0
0.871,4.02478,0
0.872,4.02363,0
0.873,4.022486,0
0.874,4.021349,0
0.875,4.020218,0
